accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-057,,coll028.jpg,The Jackson Advocate holdings (January-December 2007),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,Jan.-Dec. 2007,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings for calendar year 2007.,Supports research into local Black press coverage in Jackson during 2007.,,Source image: 3.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2007.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-058,,coll029.jpg,The Jackson Advocate holdings (January-December 2010),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,Jan.-Dec. 2010,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings for calendar year 2010.,Captures a full year of The Jackson Advocate for collections research and public history use.,,Source image: 4.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2010.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-059,,coll030.jpg,The Jackson Advocate holdings (January-December 2009),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,Jan.-Dec. 2009,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings for calendar year 2009.,Extends the museum's run of The Jackson Advocate into the late 2000s.,,Source image: 5.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2009.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-060,,coll031.jpg,The Jackson Advocate holdings (August-October 2011),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,August 2011-October 2011,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings from August through October 2011.,Documents a partial 2011 run of The Jackson Advocate within the museum's newspaper holdings.,,Source image: 6.png. Label transcription: Jackson Advocate / August 2011 thru October 2011 / Add to 2011's.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-061,,coll032.jpg,The Jackson Advocate holdings (May-October 2012),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,May 2012-October 2012,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings from May through October 2012.,Adds a partial 2012 run of The Jackson Advocate to the museum's holdings inventory.,,Source image: 7.png. Label transcription: Jackson Advocate / May 2012 thru October 2012 / Add to other 2012's.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-062,,coll033.jpg,Jackson Free Press holdings (2010 and September 2011 selections),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,"Jan.-Sept. 2010; Aug. 31-Sept. 20, 2011",newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for Jackson Free Press holdings covering most of 2010 and three weekly September 2011 issues.,Represents independent local press holdings that document contemporary Jackson civic and cultural life.,,Source image: 8.png. Label transcription: Jackson Free Press / Jan-Sept 2010 / Aug 31-Sept 6 2011 / Sept 7-13 2011 / Sept 14-20 2011.,newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-063,,coll034.jpg,Jackson Free Press holdings (January-December 2009),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,Jan.-Dec. 2009,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for Jackson Free Press holdings for calendar year 2009.,Preserves a full-year run of Jackson Free Press for research into local independent journalism.,,Source image: 9.png. Label transcription: Jackson Free Press / Jan-Dec 2009.,newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-064,,coll035.jpg,Jackson Free Press holdings (January-December 2013),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,Jan. 2013-Dec. 2013,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for Jackson Free Press holdings for calendar year 2013.,Adds a later complete run of Jackson Free Press to the holdings list.,,Source image: 10.png. Label transcription: Jackson Free Press / Jan 2013 / December 2013.,newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-065,,coll036.jpg,"The Jackson Advocate holdings (January-December 2012, incomplete)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,Jan.-Dec. 2012,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Bundle label for The Jackson Advocate holdings for 2012 with missing June, July, and August issues noted.",Documents an incomplete but substantial 2012 run of The Jackson Advocate.,,"Source image: 11.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec 2012 / Missing issues June, July, August.",newspapers; The Jackson Advocate; Black press; Jackson media; missing issues,
SRM-2026-066,,coll037.jpg,"The Jackson Advocate holdings (January-December 2011, incomplete)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,Jan.-Dec. 2011,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings for 2011 with the September issue noted as missing.,Captures an incomplete 2011 run of The Jackson Advocate within the museum holdings.,,Source image: 12.png. Label transcription: THE JACKSON ADVOCATE / Jan.-Dec. 2011 / Sept. issue missing.,newspapers; The Jackson Advocate; Black press; Jackson media; missing issues,
SRM-2026-067,,coll038.jpg,The Jackson Advocate holdings (January-December 2008),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,Jan.-Dec. 2008,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings for calendar year 2008.,Extends the museum's run of The Jackson Advocate through 2008.,,Source image: 13.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2008.,newspapers; The Jackson Advocate; Black press; Jackson media,
SRM-2026-068,,coll039.jpg,"Mixed periodicals folder (Close Up, Focus, National Alliance, Burning Spear, Planet, Northeast Ledger, South Reporter)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Community and Professional Life,"Jackson, Mississippi",1960s-2000s,,,1968-2007 selections,mixed periodical print,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Mixed periodicals folder containing issues such as Close Up, Focus, National Alliance, Burning Spear, Planet, Northeast Ledger, and South Reporter.",Represents a cross-title reference grouping of scattered newspaper and periodical issues.,,"Source image: 14.png. Label transcription: Close Up - 1968, 1969; Focus 1997; National Alliance - 1984; Burning Spear - 1984; Planet - August 2002; Northeast Ledger - March 29, 2006 and April 15, 2006; South Reporter - May 24, 2007.",periodicals; newspapers; magazines; Black press,
SRM-2026-069,,coll040.jpg,The Clarion-Ledger election-related issues (1989-2011 selections),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",1980s-2010s,Barack Obama,,1989-2011 selections,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Mixed-date Clarion-Ledger folder including issues associated with the election of Barack Obama as 44th president.,"Useful for tracing mainstream newspaper coverage across selected dates, especially around the Obama election context noted on the label.",,"Source image: 15.png. Label transcription: The Clarion Ledger / December 9, 2000 / February 5, 1989 / November 10, 2005 / January 23, 2006 / June 23, 2006 / September 13, 2006 / October 13, 2006 / Nov. 3, 2008 / Nov. 8, 2008 / May 8, 2009 / May 20, 2009 / Jan. 21, 2009 / April 6, 2010 / April 14, 2011 / Papers with the election of Barack Obama 44th President.",newspapers; The Clarion-Ledger; Barack Obama; elections; Jackson media,
SRM-2026-070,,coll041.jpg,"Jackson Free Press holdings (January 4-October 18, 2006)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,"Jan. 4, 2006-Oct. 18, 2006",newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Bundle label for Jackson Free Press holdings spanning January 4 through October 18, 2006.",Documents a sustained run of Jackson Free Press during 2006.,,"Source image: 16.png. Label transcription: Jackson Free Press / Jan 4, 2006 thru October 18, 2006.",newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-071,,coll042.jpg,Jackson Free Press holdings (May-December 2008 selections),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,May-December 2008 selections,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for multiple Jackson Free Press issues from May through December 2008.,Captures a set of weekly issues from late 2008 for local journalism and public life research.,,"Source image: 17.png. Label transcription: Jackson Free Press / May 22-28, 2008 / May 29-June 4, 2008 / July 31-Aug 2008 / Aug 14-20 2008 / Sept 11-17, 2008 / Sept 25-Oct 1, 2008 / Oct 16-22, 2008 / Oct 30-Nov 5, 2008 / Oct 23-29, 2008 / Dec 18-24, 2008.",newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-072,,coll043.jpg,"Jackson Free Press holdings (2003, 2005, 2007 selections)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,"2003, 2005, and 2007 selections",newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Mixed-date Jackson Free Press folder containing selected issues from 2003, 2005, and 2007.",Provides a cross-year sampling of Jackson Free Press coverage.,,"Source image: 18.png. Label transcription: Jackson Free Press / Nov 27-Dec 10, 2003 / Sept 29-Oct 5, 2005 / Feb 1-7, 2007 / June 2007 / Sept 20-26, 2007 / Sept 27-10/3, 2007 / Nov 1-7, 2007.",newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-073,,coll044.jpg,Jackson Free Press holdings (January-December 2014),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2010s,,,Jan.-Dec. 2014,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for Jackson Free Press holdings for calendar year 2014.,Extends the Jackson Free Press run into 2014.,,Source image: 19.png. Label transcription: Jackson Free Press / Jan-December 2014.,newspapers; Jackson Free Press; Jackson media; independent press,
SRM-2026-074,,coll045.jpg,"Mixed periodicals folder (Jackson Free Press, Miss Link, Close Up)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Community and Professional Life,"Jackson, Mississippi",1960s-2000s,,,1969-2005 selections,mixed periodical print,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Mixed periodicals folder containing Jackson Free Press, Miss Link, and Close Up issues.",Represents a mixed holding that likely needs later separation into title-specific records once the folder is processed more fully.,,"Source image: 20.png. Label transcription: Jackson Free Press / Sept 22, 2000 / Nov 7, 2002 / June 12-25, 2005 / Feb 24-March 16, 2005 / June 23-29, 2005 / Sept 29-Oct 5, 2005 / Nov 3-Nov 23, 2005 / Dec 1-7, 2005 / Dec 22-28, 2005 / Dec 15-21, 2005 / Miss Link / Jan 25-31, 1996 / Aug 21-27, 1997 / Close Up - Jan. 1969.",periodicals; Jackson Free Press; Miss Link; magazines,
SRM-2026-075,,coll046.jpg,Carved wooden slotted geometric panel,Artifact,In Storage,SRM Collection,Object Storage,Material Culture and Interpretation,Geographies To Be Confirmed,20th century,,,,carved wood,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Carved wooden panel with elongated geometric openings, photographed against a dark backdrop.",Represents a hand-worked decorative object whose function and provenance still need confirmation in object files.,,Title refined during 2026-07-18 visual metadata pass; exact cultural origin and use still need confirmation from museum documentation.,wood carving; decorative object; geometric panel,
SRM-2026-076,,coll047.jpg,Portrait photograph of Medgar Evers with unidentified man,Photograph,In Storage,Photograph Collection,Photo Storage,Civic Leadership,"Jackson, Mississippi",20th century,Medgar Evers,,,black-and-white print photograph,Stable,Rights Unknown,Review Before Public Display,TRUE,,Black-and-white portrait-style image showing Medgar Evers with an unidentified man standing indoors.,"Documents Medgar Evers and may support interpretation of civil rights leadership, public life, and Mississippi history.",,Source image: Untitled design (38)/2.png. One subject identified as Medgar Evers; second subject remains unidentified.,photograph; portrait; Medgar Evers; Black history; civil rights,
