accession_number,title,current_collection,historical_theme,srm_triage_bucket,triage_reason
SRM-2026-841,"Smith Robertson School 8th-grade class collage, 1925",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P--1990-013,Mounted reproductions of Smith Robertson School exterior views,SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-1955-012,"Portrait photograph of A.N. Jackson, principal",SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-1960-020,Smith Robinson School Sunday Evening Meeting,SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-1971- 015,"Portrait photograph of L.V. Randolph, principal",SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-2026-004,Photo Prof. Luther Marshall,Smith Robertson,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-2026-010,"Photo of Charles S. Wilson, SR Principal",SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-2026-011,Portrait photograph of Principal James Gooden,SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-P-c.1950- 018,Portrait photograph of Richard Wright,SR,Arts And Culture,definitely_srm,Current collection variant already points to Smith Robertson school or museum history.
SRM-P-c.1970- 017,Smith Robertson Under Construction,SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-R--2026-006,Field to Factory Slides and Videos,Smith Robertson,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-R--2026-009,Field to Factory Art Box,Smith robinson,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-R--c.1900-019,Photo of Smith Robertson,SR,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-028,Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program,Church and Community History Collection,Faith And Community Life,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-374,"Farish Street Historic District brochure, undated",,African American Education,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-429,"Afro-American Songs and Dances research cards, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-431,"Those Who Stayed Home During the Great Migration symposium program, September 14-15, 1989",,Migration And Memory,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-443,"Campus Communicator, undated",,Arts And Culture,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-448,"The Monitor, September 1982",,Arts And Culture,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-450,"Kommuni-K-Kwarterly, 1978",,Arts And Culture,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-463,"Commentary on Richard Wright’s Uncle Tom’s Children, undated",,Arts And Culture,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-476,"Those Who Stayed: A Collectanea, 1988-1989",,Migration And Memory,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-481,"Our People dinner theatre program, September 15, 1989",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-482,"Forums and a symposium on The Impact of Black Migration from the Rural South to the Urban North, 1915 to the Present, Attachment A",,Migration And Memory,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-486,"Typed planning document related to Black migration forums, undated",,Migration And Memory,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-487,"Black and White: The Art of H. J. Lewis, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-498,"Teachers Vertilla Friar Anderson and Jimmye J. Bailey, undated",,African American Education,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-513,"Arthur Hall Afro-American Dance Ensemble program, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-523,"The Mississippi Panel Exhibit brochure, 1997-1999",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-777,"Exhibit installation or workroom scene with portrait display, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-784,"Charles H. Wilson posed in front of the school with students, undated",,African American Education,broader_museum_exhibit_history,"Reasonable fit as museum/exhibit history, but not explicitly school-centered."
SRM-2026-793,"Printed portrait of Richmond Barthe, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-794,"Printed portrait of Mary Leontyne Price, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-801,"Printed portrait of William Grant Still, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-802,"Printed portrait of Robert Earl Jones, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-803,"Printed portrait of Richmond Barthe, variant view, undated",,Arts And Culture,broader_museum_exhibit_history,"Related to museum programming, exhibitions, or interpretive use rather than the school itself."
SRM-2026-116,Alamo Theatre September 1976 promotional calendar,Farish Street Business District Collection,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-384,"Soulbook 7, undated",,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-386,"Mississippi Passenger Road and Bridge Privilege Tax receipt, 1947",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-391,"Commission on Religion and Race Reports, spring 1965",,Faith And Community Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-393,"Wake Up America!, February 1964",,Faith And Community Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-396,Unidentified image,,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-403,"South Today, January–February 1972",,Family And Local Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-412,"How Is Your Mental Health?, August 14, 1943",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-413,"Street Talk, February 1979",,Family And Local Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-414,"Street Talk, May 1979",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-418,"Outlook: Million Dollar Monkey on My Back!!!, October 1976",,Black Health and Medicine,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-419,"Outlook featuring Roxie Patterson Meredith Weatherly, November 1976",,Family And Local Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-422,"Rough Riding Down South, 1968",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-424,"Unidentified musician performing, undated",,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-430,"Interior of an unidentified general store, undated",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-432,"St. Joseph’s Book of Facts, undated",,Material Culture and Interpretation,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-433,"Service, September 1943",,Military Service,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-435,"Letter from Research Hospital to Sadie Poole, October 15, 1938",,Midwives and Motherhood,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-439,"A Tribute To Mrs. Theressa Ruth Garrett Almore, 1907-1991",,Faith And Community Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-447,"The Reconciler, April 1978",,Faith And Community Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-451,"Soul Force, February 1984",,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-464,"United Methodist church on Farish Street, undated",,Faith And Community Life,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-473,Scott Ford Houses architectural elevation for 136 East Cohea Street,,Midwives and Motherhood,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-474,Scott Ford Houses architectural elevation for 138 East Cohea Street,,Midwives and Motherhood,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-479,"Women in Dentistry, Alpha Kappa Alpha Heritage Series No. 5, 1972",,Black Health and Medicine,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-510,"Biographical page on Dr. S. A. Miller and Mrs. L. F. Miller, M.D., undated",,Black Health and Medicine,should_move_elsewhere,Theme suggests a stronger topical or donor collection than SRM Collection.
SRM-2026-582,"Farish Street YMCA group en route to youth conference, undated",Farish Street Business District Collection,Community and Professional Life,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-775,"Lawrence A. Jones, Margaret Burroughs, and Karl Griffin seated together, undated",,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-790,"Woman seated at a piano or organ, undated",,Arts And Culture,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
SRM-2026-804,"Advertising fan for OJ's Beauty Lotion and Coal Roller Pills, undated",,Community and Professional Life,should_move_elsewhere,"Object appears tied to another theme, donor cluster, or interpretive grouping."
