priority,accession_number,title,record_type,historical_theme,collection_name,people,object_date,donor,neighborhood,rights_status,observation_reasons,notes
high,SRM-2026-032,Fragmentary clipping about Wilson Brown and the Medal of Honor,Archive,Military Service,Military and Civic History Collection,Wilson Brown,,,,Museum Use Only,Ambiguous metadata language: verify; Ambiguous metadata language: appears; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Text is partial and the object appears torn or incomplete. Verify source publication and complete caption.
high,SRM-2026-033,Photograph of elderly woman standing outdoors,Photograph,Portraiture and Community Memory,Photograph Collection,,,,,Museum Use Only,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Subject and location unidentified from the image alone. Check verso or associated materials for identification.
high,SRM-2026-034,Printed portrait of John R. Lynch,Archive,Portraiture and Community Memory,Biographical and Civic History Collection,John R. Lynch,,,,Museum Use Only,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Image may be a reproduction from a publication rather than an original photograph. Identification updated from image review.
high,SRM-2026-035,Printed portrait of Hiram Revels,Archive,Portraiture and Community Memory,Biographical and Civic History Collection,Hiram Revels,,,,Museum Use Only,Ambiguous metadata language: confirm; Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Image may be a reproduction from a book, pamphlet, or exhibit panel. Identification updated from image review; confirm source."
high,SRM-2026-036,Framed display of note labeled 'The State of England' one dollar,Artifact,Material Culture and Interpretation,Material Culture Collection,,,,,Museum Use Only,Ambiguous metadata language: verify; Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Identification is uncertain from the image alone. Verify whether the note is original, reproduction, or exhibit facsimile."
high,SRM-2026-047,Annual meeting group photograph of the Mississippi Negro Brewers Association,Photograph,Community and Professional Life,Photograph Collection,,,,,Museum Use Only,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Caption is partially obscured and should be verified from the original print.
high,SRM-2026-048,Civil rights demonstration photograph with linked arms,Photograph,Civil Rights and Citizenship,Civil Rights Collection,,,,,Museum Use Only,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Location, photographer, and exact event are not identified from the image alone."
high,SRM-2026-049,Alcorn Agricultural and Mechanical College Eighty-Ninth Annual Commencement program,Archive,African American Education,Education Collection,,1960-05-23 00:00:00,,,Museum Use Only,Ambiguous metadata language: confirm; Ambiguous metadata language: may; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Front cover only is shown; confirm full contents and whether any names are listed inside.
high,SRM-2026-050,Student Nonviolent Coordinating Committee 1967 calendar,Archive,Civil Rights and Citizenship,Civil Rights Collection,Bob Fletcher; Julius Lester,1967,,,Museum Use Only,Ambiguous metadata language: appears; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,The cover and June page appear to be the same item and are cataloged here as a single calendar rather than separate records.
high,SRM-2026-053,Free Mississippi in '64 campaign sticker or handbill,Archive,Civil Rights and Citizenship,Civil Rights Collection,,1964,,,Museum Use Only,Ambiguous metadata language: confirm; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Confirm whether object is a sticker, handbill, or sign."
high,SRM-2026-054,"Democratic National Convention reserved section ticket, August 24, 1964",Archive,Civil Rights and Citizenship,Political History Collection,John M. Bailey,1964-08-24 00:00:00,,,Museum Use Only,Ambiguous metadata language: may; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Consider cross-referencing with Freedom Democratic Party materials if present elsewhere in the collection.
high,SRM-2026-061,The Jackson Advocate holdings (May-October 2012),Newspaper / Periodical,Civic Leadership,Newspapers And Periodicals,,May 2012-October 2012,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: 7.png. Label transcription: Jackson Advocate / May 2012 thru October 2012 / Add to other 2012's.
high,SRM-2026-068,"Mixed periodicals folder (Close Up, Focus, National Alliance, Burning Spear, Planet, Northeast Ledger, South Reporter)",Newspaper / Periodical,Community and Professional Life,Newspapers And Periodicals,,1968-2007 selections,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,"Source image: 14.png. Label transcription: Close Up - 1968, 1969; Focus 1997; National Alliance - 1984; Burning Spear - 1984; Planet - August 2002; Northeast Ledger - March 29, 2006 and April 15, 2006; South Reporter - May 24, 2007."
high,SRM-2026-069,The Clarion-Ledger election-related issues (1989-2011 selections),Newspaper / Periodical,Civic Leadership,Newspapers And Periodicals,Barack Obama,1989-2011 selections,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,"Source image: 15.png. Label transcription: The Clarion Ledger / December 9, 2000 / February 5, 1989 / November 10, 2005 / January 23, 2006 / June 23, 2006 / September 13, 2006 / October 13, 2006 / Nov. 3, 2008 / Nov. 8, 2008 / May 8, 2009 / May 20, 2009 / Jan. 21, 2009 / April 6, 2010 / April 14, 2011 / Papers with the election of Barack Obama 44th President."
high,SRM-2026-071,Jackson Free Press holdings (May-December 2008 selections),Newspaper / Periodical,Civic Leadership,Newspapers And Periodicals,,May-December 2008 selections,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,"Source image: 17.png. Label transcription: Jackson Free Press / May 22-28, 2008 / May 29-June 4, 2008 / July 31-Aug 2008 / Aug 14-20 2008 / Sept 11-17, 2008 / Sept 25-Oct 1, 2008 / Oct 16-22, 2008 / Oct 30-Nov 5, 2008 / Oct 23-29, 2008 / Dec 18-24, 2008."
high,SRM-2026-076,Portrait photograph of Medgar Evers with unidentified man,Photograph,Civic Leadership,Photograph Collection,Medgar Evers,,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Unidentified subject in title; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (38)/2.png. One subject identified as Medgar Evers; second subject remains unidentified.
high,SRM-2026-078,Smith Robertson class portrait with teacher,Photograph,African American Education,School History Collection,,,,Smith Robertson Campus,Rights Unknown,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (38)/4.png. Some image wear visible around edges.
high,SRM-2026-082,Carved wooden face mask,Artifact,Arts And Culture,Museum Object Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/3.png. Cultural attribution should be confirmed by collections staff.
high,SRM-2026-084,Tomorrow Was Yesterday,Archive,Arts And Culture,Museum Library,James N. Brown,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/5.png.
high,SRM-2026-085,On-the-Job Education in Rural Communities (inscribed title-page copy),Archive,African American Education,Museum Library,Roy W. Roberts; Betty Mae York,1947-02-01 00:00:00,,Rural communities,Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/6.png. May be the same physical publication as SRM-2026-086 photographed from a different side.
high,SRM-2026-086,On-the-Job Education in Rural Communities (cover copy),Archive,African American Education,Museum Library,,1947-02-01 00:00:00,,Rural communities,Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/7.png. May represent the same physical publication as SRM-2026-085.
high,SRM-2026-087,Closing Day Treasury,Archive,African American Education,Museum Library,Marie Irish; Elizabeth F. Guptill,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/8.png.
high,SRM-2026-091,Rules and Regulations for the Certification of the Administrative and Instructional Personnel (plain copy),Archive,African American Education,School History Collection,Bilbo Young,1958 revision,,Mississippi,Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/12.png. May duplicate or accompany SRM-2026-083.
high,SRM-2026-092,The County Superintendent of Schools in the United States,Archive,African American Education,Museum Library,,,,United States,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/13.png.
high,SRM-2026-096,Bound scrapbook or notebook with inserted typed historical document,Archive,Civic Leadership,Archives Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/17.png. Detailed identification should be completed from the original object before public release.
high,SRM-2026-097,Beaded gourd vessel with white and red netting,Artifact,Arts And Culture,Museum Object Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/18.png. Cultural attribution should be confirmed.
high,SRM-2026-098,Beaded gourd vessel marked Kuba,Artifact,Arts And Culture,Museum Object Collection,,,,Kuba,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/19.png. Attribution and meaning of inscription should be verified.
high,SRM-2026-102,Opera/South program packet,Archive,Arts And Culture,Programs And Ephemera,,,,"Jackson, Mississippi",Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Source image: Untitled design (37)/23.png. May contain multiple related pieces that could later be cataloged separately.
high,SRM-2026-103,SRA Reading Laboratory IIa student record book,Archive,African American Education,School History Collection,James Earl Dixon?,,,Smith Robertson Campus,Rights Unknown,Ambiguous metadata language: appears; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,"Source image: Untitled design (37)/24.png. Student name appears to read James Earl Dixon, but should be verified from the object."
high,SRM-2026-115,"Grouped artifacts including camera, soap box, and two small irons",Artifact,Material Culture and Interpretation,Material Culture Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing object date; Missing donor; Rights status needs normalization: Rights Unknown,"Documents everyday household and consumer objects that may relate to domestic life, photography, and material culture."
high,SRM-2026-118,Portrait of elderly woman holding infant,Photograph,Midwives and Motherhood,Photograph Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: confirm; Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Subjects are unidentified in the current image. Confirm names
high,SRM-2026-119,Interior photograph of women working in laundry room,Photograph,Black Business and Professional Life,Photograph Collection,unidentified women,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: confirm; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Provisional title based on image review. Confirm location
high,SRM-2026-120,Photograph of child receiving oral examination,Photograph,Community and Professional Life,Photograph Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor; Rights status needs normalization: Rights Unknown,
high,SRM-2026-121,Photograph of house exterior,Photograph,Family And Local Life,Photograph Collection,,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor; Rights status needs normalization: Rights Unknown,"May support interpretation of domestic space, neighborhood history, or property documentation."
high,SRM-2026-123,Portrait clipping of Virginia Scott (Scott Ford Houses),Archive,Portraiture and Community Memory,Biographical And Civic History Collection,Virginia Scott,,,Scott Ford Houses,Rights Unknown,Ambiguous metadata language: confirm; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Identification updated from cursory visual review against original SRM/45.png. Confirm full biographical details from source documentation.
high,SRM-2026-125,"""Delta Fishing"" woodcut print",Artifact,Arts And Culture,Art Collection,,1950,,Mississippi,Rights Unknown,Ambiguous metadata language: confirm; Ambiguous metadata language: appears; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Title and date appear to be visible in the image. Confirm artist signature and edition details from the original.
high,SRM-2026-127,Cotton branch photograph,Photograph,Agriculture and Labor,Photograph Collection,,,,Mississippi,Rights Unknown,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Exact context and date are unidentified in the current image.
high,SRM-2026-130,Sony Walkman cassette player,Artifact,Arts And Culture,Material Culture Collection,,late 20th century,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: confirm; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Confirm exact model number and manufacturing date from the object.
high,SRM-2026-131,Portrait photograph of O.B. Cobbins,Photograph,Portraiture and Community Memory,Photograph Collection,O.B. Cobbins,,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: verify; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,"Identification supplied during image review. Verify full name, date, and any associated biography from object documentation."
high,SRM-2026-132,Portrait photograph of Mary Scott (Scott Ford Houses),Photograph,Portraiture and Community Memory,Photograph Collection,Mary Scott,,,Scott Ford Houses,Rights Unknown,Ambiguous metadata language: confirm; Missing object date; Missing donor and provenance; Rights status needs normalization: Rights Unknown,Created from original SRM/29.png after cursory visual review suggested the image was not yet represented elsewhere in the current database. Confirm date and biographical details from source documentation.
high,SRM-2026-144,Packets of photographic film,Artifact,Arts And Culture,SRM Collection,Richard Beadle,,,,Rights Unknown,Missing object date; Missing donor; Missing neighborhood/geography detail; Rights status needs normalization: Rights Unknown,User confirmed during 2026-07-18 metadata review that the grouped objects are packets of film.
high,SRM-2026-185,Man and two children on Farish Street,Photograph,Family And Local Life,Original SRM Intake Review,,,,Farish Street,Rights Unknown,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown,"Identification and date range provided by user on July 18, 2026."
high,SRM-2026-195,Civil rights demonstration photograph,Photograph,Civil Rights and Citizenship,Original SRM Intake Review,,,,Mississippi,Rights Unknown,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown,Source file renamed from 14.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
high,SRM-2026-202,Standard certificate of birth for Bobbie May Jefferson,Archive,Midwives and Motherhood,Original SRM Intake Review,Bobbie May Jefferson; Josephine Jefferson,1934-08-17,,Scott Ford Houses,Rights Unknown,Ambiguous metadata language: may; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance."
high,SRM-2026-209,Farish Street group photograph,Photograph,Family And Local Life,Original SRM Intake Review,,,,Farish Street,Rights Unknown,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown,"Date range and location provided by user on July 18, 2026."
high,SRM-2026-214,Certificate of Meritorious Achievement in Journalism for Percy Greene,Archive,Black Business and Professional Life,Original SRM Intake Review,Percy Greene,1960,,,Rights Unknown,Ambiguous metadata language: appears; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown,The certificate appears to reference a New York Press Club award.
high,SRM-2026-235,Jackson College exhibit display room (provisional),Photograph,Arts And Culture,Smith Robertson Photograph Collection,,20th century,,Jackson State University Campus,Rights Held by Museum,Ambiguous metadata language: may; Missing donor; Status still marked Needs Review,Embedded metadata did not include a usable caption beyond the asset identifier. Title and description are provisional from visual review of gettyimages-2151568410-594x594.jpg.
high,SRM-2026-265,Voice-O-Graph recording labeled with R. Jess Brown's name and state criminal case,Artifact,Community and Professional Life,R. Jess Brown Collection,R. Jess Brown,20th century,Daughter of R. Jess Brown,Mississippi,Rights Unknown,Ambiguous metadata language: may; Condition still marked Needs Review; Rights status needs normalization: Rights Unknown,Source image: 24.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
high,SRM-2026-277,National Bar Association life-membership certificate for R. Jess Brown,Artifact,Community and Professional Life,R. Jess Brown Collection,R. Jess Brown,1968-05-13,Daughter of R. Jess Brown,United States,Rights Unknown,Ambiguous metadata language: may; Rights status needs normalization: Rights Unknown,Source image: 36.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
high,SRM-2026-280,Ellis J. May III letter recalling conversation with R. Jess Brown,Archive,Civic Leadership,R. Jess Brown Collection,R. Jess Brown; Ellis J. May III; Thurgood Marshall,1988-09-21,Daughter of R. Jess Brown,"Washington, D.C.",Rights Unknown,Ambiguous metadata language: may; Rights status needs normalization: Rights Unknown,Source image: 39.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
high,SRM-2026-295,Formal group portrait on institutional steps,Photograph,Community and Professional Life,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 2.png."
high,SRM-2026-299,Metropolitan Class Record No. 425,Archive,African American Education,Dr. Townsend Collection,"Dr. Townsend (teacher, attributed)",1944,,Mississippi,Rights Held by Museum,Ambiguous metadata language: appears; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 6.png."
high,SRM-2026-303,Seated older man indoors,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 10.png."
high,SRM-2026-304,Older man seated with cane,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 11.png."
high,SRM-2026-308,Alcorn A and M College Certificate of Merit,Archive,African American Education,Dr. Townsend Collection,,1960-05-23,,"Lorman, Mississippi",Rights Held by Museum,Ambiguous metadata language: may; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 15.png."
high,SRM-2026-322,Nineteenth-century group portrait of seven men,Photograph,Civic Leadership,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 29.png."
high,SRM-2026-324,Office or public building desk scene,Photograph,Community and Professional Life,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: may; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 31.png."
high,SRM-2026-325,Studio portrait of unidentified infant,Photograph,Midwives and Motherhood,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Unidentified subject in title; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 32.png."
high,SRM-2026-326,Portrait of three unidentified young people,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Unidentified subject in title; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 33.png."
high,SRM-2026-328,Full-length portrait of unidentified woman with handbag,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Unidentified subject in title; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 35.png."
high,SRM-2026-329,Health worker examining seated man,Photograph,Black Health and Medicine,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 36.png."
high,SRM-2026-330,Auditorium audience photograph,Photograph,Community and Professional Life,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 37.png."
high,SRM-2026-334,Close-up portrait of young man with lowered head,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: unclear; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 41.png."
high,SRM-2026-335,Man speaking to boys indoors,Photograph,African American Education,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 42.png."
high,SRM-2026-337,Bust-length portrait of unidentified woman with high bun,Photograph,Portraiture and Community Memory,Dr. Townsend Collection,,,,Geographies To Be Confirmed,Rights Held by Museum,Unidentified subject in title; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 44.png."
