accession_number,title,record_type,historical_theme,current_collection,proposed_collection,proposal_confidence,proposal_reason
SRM-2026-446,"Head Start Newsletter: Potpourri, December 1977",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-449,"The Rust College Sentinel, March 1981",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-500,"Fourth grade class, 1953",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-514,"Lanier High School Class of 1944 fiftieth graduation anniversary program, June 24-26, 1994",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-515,"Lanier and Jim Hill 1953 class reunion booklet, undated",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-516,"Tougaloo Southern News, January 1959",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-517,"The thirtieth year reunion of the Lanier High School class of 1954, July 6-7, 1984",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-518,"Tougaloo News college magazine, July 1984",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-519,"Lanier High School Class of 1941 reunion program, September 19-21, 1986",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-520,"Lanier High School Class of 1949 reunion program, July 20-22, 1984",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-522,"Lanier Class of 1947 thirty-seventh anniversary reunion program, July 27-29, 1984",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-524,Emergency School Aid Act of 1970 hearings extract,Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-526,"SCAASI Southern Conference on Afro-American Studies general convention program, 1983",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-778,"Typing classroom with students at typewriters, undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-780,"Large outdoor youth group portrait, possibly associated with Mrs. Minnie Jarvis's Girl Scouts, undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-789,"Baseball players behind a chain-link fence, undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-796,"Classroom scene labeled ""Black e Proud School,"" undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-799,"Learning to Sew, William Johnson Center, Jackson, Mississippi, undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-800,"Classroom or workshop scene with seated participants, undated",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-835,"JSU graduation ceremony, May 8, 1977",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-836,"Graduation portrait of an unidentified woman, Jackson College class of 1937",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-372,"Afro Scholar Newsletter featuring Richard Wright, undated",Archive,Arts And Culture,,Newspapers And Periodicals,high,Serial/newspaper or magazine item fits the periodicals grouping.
SRM-2026-420,"Outlook Magazine: Blacks Lose Land / 40 Acres and a Mule / Black Farmers in Trouble, December 1978",Archive,Agriculture and Labor,,Newspapers And Periodicals,high,Serial/newspaper or magazine item fits the periodicals grouping.
SRM-2026-442,"Reaction Magazine contents and staff pages, 1976",Archive,Arts And Culture,,Newspapers And Periodicals,high,Serial/newspaper or magazine item fits the periodicals grouping.
SRM-2026-445,"Reaction Magazine contents and staff pages, alternate view, 1976",Archive,Arts And Culture,,Newspapers And Periodicals,high,Serial/newspaper or magazine item fits the periodicals grouping.
SRM-2026-452,"Southern Black Cultural Newsletter, May 1981",Archive,Arts And Culture,,Newspapers And Periodicals,high,Serial/newspaper or magazine item fits the periodicals grouping.
SRM-2026-361,"Portrait of an unidentified infant, undated",Photograph,Midwives and Motherhood,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-362,"Portrait of three unidentified children, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-363,"Portrait of an unidentified couple, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-364,"Carved portrait bust of an unidentified woman, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-365,"Carved portrait bust of an unidentified man, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-376,"Advertising fan with portrait of an unidentified boy, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-377,"Portrait of an unidentified woman, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-378,"Presentation on a porch, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-379,"Edward Nelson Taylor, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-380,"Portrait of an unidentified young man, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-381,"Two unidentified children indoors, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-397,"Group portrait with handwritten identifications, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-454,"Portrait of an unidentified woman, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-455,"Portrait of an unidentified man with seasonal inscription, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-456,"Unidentified man with bicycle, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-457,"Childhood portrait labeled “Ms. Bessie Shader,” ca. 1912",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-458,"Portrait labeled “Ms. Bessie Shader,” ca. 1918",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-459,"Older woman holding an infant, January 1979",Photograph,Midwives and Motherhood,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-465,"Portrait of an unidentified woman, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-467,"Dorothy Moore, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-468,"Dorothy Moore, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-470,"Percy Greene, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-471,"James C. Gilliam Jr., 1950",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-472,"Mrs. Rosie Holden of Jackson, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-475,"Portrait of an unidentified woman in hat and fur collar, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-477,"Portrait of an unidentified infant in christening gown, undated",Photograph,Midwives and Motherhood,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-776,"Community meeting around a conference table, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-779,"House and parked car, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-781,"Studio portrait of an unidentified man in suit, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-782,"House doorway with wooden porch, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-783,"Studio portrait of an unidentified young man, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-785,"Sepia portrait of an unidentified man, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-786,"Color snapshot of an unidentified man standing outdoors, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-787,"Child seated outdoors on a bench, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-791,"Outdoor labor or logging scene, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-792,"Figure standing in a field, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-795,"Cooperative worker sewing stuffed dolls at Rose Hill near Lexington, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-798,"Groundbreaking of a church on Farish Street, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-806,"Conic's Beauty-Barber Supply storefront, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-809,"Infant seated in a walker beside a small table, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-812,"Outdoor portrait of an unidentified man, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-816,"Indoor portrait of an unidentified couple, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-818,"Portrait of an unidentified man in suit and tie, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-819,"Family group portrait, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-820,"Wedding portrait with cake, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-821,"Indoor family group portrait, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-827,"Farish Street Baptist Church, 619 N. Farish, undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-829,"Portrait of an unidentified woman, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-830,"Profile portrait of an unidentified woman, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-831,"Woman seated on a bench with child, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-832,"Studio portrait of an unidentified infant, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-833,"Portrait of an unidentified woman in striped dress, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-834,"Candid photograph of a woman in a polka-dot dress, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-837,"Woman drawing water from a hand pump, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-838,"Dotty Cab Restaurant (White House), undated",Photograph,Community and Professional Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-839,"Man drawing water from a hand pump, undated",Photograph,Family And Local Life,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-840,"Sepia full-length portrait of an unidentified woman outdoors, undated",Photograph,Portraiture and Community Memory,,Photograph Collection,medium,Loose photograph without named donor collection fits the general photograph bucket.
SRM-2026-509,"Hygiene class certificate for Leroy Weathersby, May 21, 1940",Archive,Black Health and Medicine,,School History Collection,high,Education-centered item fits the strongest general school-history collection.
SRM-2026-370,"Smith Robertson Folklife Festival program, May 3–5, 1985",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-371,"Smith Robertson Museum and Cultural Center brochure, undated",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-373,"A Neighborhood Discovery exhibition program, 1983",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-374,"Farish Street Historic District brochure, undated",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-384,"Soulbook 7, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-386,"Mississippi Passenger Road and Bridge Privilege Tax receipt, 1947",Artifact,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-389,"Smith Robertson Neighborhood Folklife Festival program, May 4, 1984",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-390,"Smith Robertson Neighborhood Folklife Festival program pages, 1984",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-391,"Commission on Religion and Race Reports, spring 1965",Archive,Faith And Community Life,,SRM Collection,low,Single faith/community item is better housed in the general SRM collection until a larger church cluster exists.
SRM-2026-393,"Wake Up America!, February 1964",Archive,Faith And Community Life,,SRM Collection,low,Single faith/community item is better housed in the general SRM collection until a larger church cluster exists.
SRM-2026-396,Unidentified image,Photograph,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-403,"South Today, January–February 1972",Archive,Family And Local Life,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-412,"How Is Your Mental Health?, August 14, 1943",Archive,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-413,"Street Talk, February 1979",Archive,Family And Local Life,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-414,"Street Talk, May 1979",Photograph,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-418,"Outlook: Million Dollar Monkey on My Back!!!, October 1976",Archive,Black Health and Medicine,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-419,"Outlook featuring Roxie Patterson Meredith Weatherly, November 1976",Archive,Family And Local Life,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-422,"Rough Riding Down South, 1968",Archive,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-424,"Unidentified musician performing, undated",Photograph,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-429,"Afro-American Songs and Dances research cards, undated",Artifact,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-430,"Interior of an unidentified general store, undated",Photograph,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-431,"Those Who Stayed Home During the Great Migration symposium program, September 14-15, 1989",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-432,"St. Joseph’s Book of Facts, undated",Archive,Material Culture and Interpretation,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
